unknown_device,open_port_count,critical_cve_count,patch_status,os_outdated,sensitive_network_access,risk
Yes,9,3,Updated,1,Yes,High
Yes,13,6,Outdated,1,Yes,High
No,4,2,Outdated,0,No,High
Yes,26,5,Outdated,1,No,Critical
No,6,2,Outdated,1,No,Medium
Yes,5,6,Outdated,1,Yes,High
Yes,7,1,Updated,0,No,Medium
No,8,4,Updated,0,No,Medium
No,2,2,Updated,1,No,Low
Yes,13,8,Outdated,1,Yes,Critical
Yes,15,6,Updated,1,No,High
Yes,23,6,Outdated,1,Yes,Critical
Yes,18,5,Updated,0,No,High
Yes,29,8,Outdated,1,Yes,Critical
No,4,4,Outdated,0,No,Medium
No,2,1,Outdated,0,No,Low
No,1,1,Updated,0,Yes,Low
Yes,14,3,Outdated,0,Yes,High
Yes,29,10,Outdated,1,Yes,Critical
Yes,16,2,Updated,0,No,High
Yes,17,1,Outdated,1,Yes,High
Yes,5,0,Updated,1,Yes,Medium
No,4,1,Outdated,0,No,Medium
No,12,1,Outdated,0,Yes,Medium
Yes,7,1,Outdated,1,Yes,Low
No,8,2,Outdated,1,No,Low
Yes,23,3,Outdated,1,Yes,Critical
Yes,18,2,Outdated,0,No,High
No,4,1,Outdated,0,No,Low
Yes,12,7,Outdated,1,Yes,Critical
No,2,2,Updated,0,Yes,Low
Yes,18,2,Updated,0,Yes,High
No,11,2,Outdated,0,Yes,Medium
No,8,0,Updated,0,No,Medium
Yes,9,0,Updated,0,No,Medium
No,2,1,Updated,1,No,Low
Yes,1,0,Updated,0,Yes,Low
Yes,0,0,Updated,1,No,Low
No,4,4,Updated,0,No,Medium
Yes,4,0,Updated,1,No,Low
No,7,4,Updated,0,No,Medium
Yes,27,8,Outdated,1,Yes,Critical
Yes,19,6,Outdated,1,Yes,Critical
Yes,11,8,Outdated,1,Yes,Critical
Yes,28,7,Outdated,1,Yes,Critical
Yes,22,9,Outdated,1,Yes,Critical
No,5,2,Updated,0,Yes,Low
No,17,4,Outdated,1,Yes,High
Yes,9,1,Updated,0,Yes,Medium
Yes,24,8,Outdated,1,Yes,Critical
Yes,9,6,Outdated,1,Yes,Critical
Yes,11,1,Outdated,1,Yes,High
Yes,26,9,Outdated,1,No,Critical
Yes,4,2,Updated,1,No,Low
Yes,4,4,Updated,1,Yes,High
Yes,9,4,Outdated,1,No,Critical
Yes,15,9,Outdated,1,No,Critical
Yes,14,9,Outdated,1,Yes,Critical
Yes,28,5,Outdated,1,Yes,Critical
Yes,17,5,Outdated,0,Yes,High
Yes,23,10,Outdated,1,Yes,Critical
Yes,22,7,Outdated,1,Yes,Critical
Yes,11,2,Updated,0,No,Medium
Yes,14,7,Outdated,1,Yes,Critical
No,13,4,Outdated,0,No,High
Yes,7,3,Updated,1,Yes,Medium
Yes,21,3,Outdated,1,Yes,Critical
Yes,5,1,Outdated,0,No,Medium
No,9,1,Updated,0,Yes,Medium
No,3,1,Updated,0,Yes,Low
Yes,11,1,Outdated,1,No,High
No,3,0,Outdated,0,Yes,Low
Yes,12,6,Outdated,1,No,Critical
No,4,1,Updated,1,Yes,High
Yes,17,2,Updated,1,Yes,High
No,4,0,Updated,0,No,Medium
Yes,17,3,Outdated,1,No,Critical
Yes,27,4,Outdated,1,Yes,Critical
Yes,3,0,Outdated,0,No,Low
Yes,18,9,Outdated,1,Yes,Critical
Yes,16,1,Updated,1,Yes,High
No,3,3,Updated,0,No,Medium
No,15,4,Updated,0,Yes,High
No,10,3,Updated,0,Yes,Medium
No,15,5,Outdated,1,Yes,Critical
No,12,4,Outdated,1,Yes,High
Yes,9,4,Updated,0,No,Medium
No,7,0,Updated,0,Yes,Medium
No,17,6,Outdated,1,Yes,High
Yes,5,1,Outdated,1,No,High
Yes,4,3,Outdated,0,Yes,High
Yes,2,0,Updated,0,Yes,Medium
No,7,4,Updated,1,Yes,Medium
No,6,1,Updated,1,Yes,Medium
Yes,3,1,Updated,0,Yes,Low
Yes,19,10,Outdated,1,Yes,Critical
Yes,30,10,Outdated,1,Yes,Critical
No,5,3,Updated,0,Yes,Medium
No,10,1,Updated,0,No,Medium
Yes,18,3,Outdated,0,Yes,High
Yes,11,4,Updated,0,No,High
Yes,19,4,Outdated,1,Yes,Critical
Yes,17,4,Outdated,1,Yes,Critical
Yes,14,5,Outdated,1,Yes,Critical
Yes,15,3,Updated,1,Yes,High
Yes,9,4,Outdated,1,Yes,Critical
Yes,29,9,Outdated,1,Yes,Critical
Yes,13,1,Updated,1,Yes,High
Yes,29,6,Outdated,1,No,Critical
Yes,12,3,Outdated,1,No,High
Yes,9,7,Outdated,1,Yes,Critical
Yes,12,1,Outdated,1,Yes,High
Yes,22,3,Outdated,1,Yes,Critical
No,5,2,Outdated,0,No,Low
Yes,4,1,Outdated,1,No,Low
Yes,6,4,Outdated,0,Yes,High
No,6,2,Outdated,0,No,Low
Yes,6,6,Outdated,0,No,High
No,6,2,Updated,1,No,Low
Yes,13,4,Updated,1,No,High
Yes,1,1,Updated,1,No,Low
No,17,1,Updated,0,Yes,High
Yes,19,3,Outdated,1,Yes,Critical
Yes,12,8,Outdated,1,No,Critical
Yes,15,8,Outdated,1,Yes,Critical
Yes,13,5,Outdated,1,No,Critical
Yes,5,3,Outdated,1,Yes,High
No,7,1,Updated,1,No,Low
Yes,8,5,Outdated,1,Yes,High
No,7,1,Outdated,1,No,Low
Yes,10,5,Outdated,1,Yes,High
Yes,16,3,Updated,1,Yes,High
Yes,16,3,Outdated,1,Yes,High
No,7,0,Updated,0,No,Medium
Yes,18,6,Outdated,1,Yes,High
Yes,20,4,Outdated,1,Yes,Critical
No,1,1,Outdated,0,Yes,Low
No,8,1,Updated,0,Yes,Medium
Yes,10,5,Outdated,1,Yes,Critical
Yes,11,3,Updated,0,No,Medium
Yes,21,7,Outdated,1,Yes,Critical
No,27,3,Outdated,1,Yes,Critical
Yes,4,2,Outdated,0,No,Low
No,4,0,Updated,0,Yes,Low
Yes,22,6,Outdated,1,Yes,Critical
Yes,12,4,Outdated,0,Yes,High
No,22,3,Outdated,1,Yes,Critical
No,12,6,Outdated,0,Yes,High
Yes,9,4,Updated,1,Yes,High
Yes,11,5,Updated,1,No,High
No,19,4,Outdated,1,Yes,High
No,16,2,Outdated,1,Yes,High
Yes,5,2,Outdated,0,Yes,Low
Yes,21,5,Outdated,1,Yes,Critical
Yes,16,5,Outdated,0,Yes,High
Yes,16,4,Updated,1,Yes,High
Yes,6,1,Updated,0,Yes,Medium
Yes,10,6,Outdated,1,Yes,High
No,7,0,Updated,0,No,Low
No,2,2,Outdated,0,No,Low
Yes,9,9,Outdated,1,Yes,Critical
Yes,10,9,Outdated,1,Yes,Critical
Yes,7,2,Updated,1,No,Low
Yes,1,2,Updated,1,No,Low
No,6,1,Outdated,0,No,Low
Yes,27,4,Outdated,1,No,Critical
Yes,5,1,Outdated,0,No,Low
No,5,2,Updated,0,Yes,Medium
Yes,15,3,Outdated,1,Yes,Critical
No,11,1,Outdated,0,No,Medium
No,6,0,Updated,1,No,Medium
Yes,6,1,Updated,0,No,Medium
No,7,1,Updated,0,No,High
No,3,4,Updated,0,Yes,Medium
Yes,7,3,Updated,1,No,High
Yes,12,4,Outdated,1,No,Medium
No,0,0,Updated,1,Yes,Low
No,6,1,Outdated,0,Yes,Low
Yes,8,4,Updated,1,No,Medium
Yes,15,6,Outdated,1,Yes,High
Yes,0,1,Outdated,0,No,Low
Yes,21,6,Outdated,1,No,Critical
Yes,17,3,Updated,1,No,High
Yes,21,9,Outdated,1,Yes,Critical
No,11,7,Outdated,1,Yes,Critical
No,2,0,Updated,1,No,Low
Yes,25,8,Outdated,1,Yes,Critical
No,0,0,Updated,0,No,Low
No,0,2,Outdated,1,No,Low
Yes,0,0,Updated,0,No,Low
Yes,6,0,Outdated,0,No,Medium
No,9,1,Outdated,0,No,Medium
No,7,1,Updated,0,Yes,Low
Yes,18,4,Outdated,1,Yes,Critical
Yes,8,1,Outdated,0,No,Low
Yes,28,9,Outdated,1,Yes,Critical
No,2,0,Updated,0,No,Low
Yes,10,7,Outdated,1,Yes,Critical
No,8,2,Updated,0,No,Medium
Yes,4,2,Updated,0,Yes,High
Yes,19,5,Updated,1,Yes,High
Yes,8,4,Updated,1,No,High
No,5,3,Updated,0,No,Medium
Yes,4,2,Updated,0,No,High
Yes,10,1,Updated,0,No,Medium
Yes,13,2,Outdated,1,Yes,High
Yes,7,1,Outdated,0,No,Medium
No,4,2,Updated,1,No,Medium
Yes,11,6,Outdated,1,Yes,Critical
Yes,30,7,Outdated,1,Yes,Critical
Yes,17,5,Outdated,1,Yes,Critical
No,2,3,Updated,0,No,Medium
Yes,2,1,Outdated,0,No,Low
No,4,0,Outdated,1,No,Low
No,18,1,Outdated,1,No,High
Yes,9,6,Outdated,1,Yes,High
No,5,4,Updated,0,Yes,Medium
No,20,3,Outdated,0,No,High
Yes,4,4,Outdated,0,Yes,Medium
Yes,21,10,Outdated,1,Yes,Critical
Yes,12,4,Outdated,1,Yes,Critical
No,4,1,Updated,1,No,Low
Yes,7,5,Outdated,0,Yes,High
Yes,12,3,Outdated,0,Yes,Medium
No,8,0,Updated,0,No,Low
Yes,22,10,Outdated,1,Yes,Critical
No,21,9,Outdated,1,No,Critical
Yes,14,6,Outdated,1,No,High
No,6,1,Updated,0,Yes,Low
Yes,2,1,Outdated,0,Yes,Low
No,0,1,Updated,0,No,Low
Yes,12,5,Outdated,1,No,Critical
Yes,12,5,Updated,1,Yes,High
No,2,1,Outdated,1,No,Medium
No,11,0,Updated,1,Yes,Medium
No,12,2,Updated,0,No,Medium
Yes,7,0,Updated,1,Yes,Low
Yes,12,2,Updated,0,No,Medium
Yes,8,3,Outdated,1,Yes,Critical
Yes,7,2,Outdated,0,Yes,High
No,6,0,Updated,0,No,Medium
Yes,15,7,Outdated,1,Yes,Critical
No,0,2,Updated,1,Yes,Low
No,6,1,Updated,1,No,Low
No,3,4,Updated,0,No,Medium
Yes,19,2,Outdated,1,No,High
Yes,11,1,Updated,0,Yes,Medium
No,9,2,Updated,0,No,Medium
Yes,8,1,Updated,0,Yes,Low
Yes,29,3,Outdated,1,Yes,Critical
No,8,5,Outdated,1,No,Critical
Yes,20,1,Outdated,1,No,High
Yes,18,3,Outdated,1,Yes,Critical
Yes,7,4,Updated,0,Yes,Medium
Yes,16,9,Outdated,1,No,Critical
Yes,7,5,Updated,1,Yes,High
Yes,11,5,Outdated,1,Yes,Critical
Yes,5,2,Updated,1,No,Low
No,13,2,Outdated,0,Yes,High
Yes,16,6,Outdated,1,Yes,Critical
Yes,7,1,Outdated,1,Yes,High
Yes,10,4,Updated,1,Yes,High
No,7,1,Outdated,0,Yes,Low
Yes,27,3,Outdated,1,Yes,Critical
No,15,6,Outdated,1,Yes,High
No,8,1,Outdated,1,Yes,Medium
No,7,2,Updated,1,No,High
No,4,6,Updated,1,Yes,High
Yes,3,2,Updated,0,No,Low
No,5,4,Updated,1,No,Medium
Yes,17,4,Outdated,0,No,High
Yes,24,5,Outdated,1,Yes,Critical
No,11,2,Outdated,1,Yes,High
No,8,0,Updated,1,Yes,Medium
Yes,7,0,Updated,0,No,Low
No,11,1,Updated,1,No,Medium
Yes,2,2,Updated,0,No,Medium
No,7,2,Outdated,0,No,Low
Yes,3,1,Updated,0,No,Medium
Yes,17,3,Outdated,1,Yes,Critical
Yes,5,0,Outdated,0,Yes,Low
Yes,4,1,Outdated,1,No,Medium
Yes,10,10,Outdated,1,Yes,Critical
Yes,2,2,Outdated,0,No,Medium
No,9,2,Outdated,0,No,Medium
Yes,10,0,Updated,0,Yes,Medium
Yes,13,7,Outdated,1,Yes,Critical
No,8,0,Updated,1,No,Medium
Yes,18,1,Outdated,1,No,High
No,8,0,Outdated,0,No,Low
Yes,9,5,Updated,0,Yes,High
Yes,29,5,Outdated,1,Yes,Critical
No,7,0,Outdated,0,Yes,Low
Yes,3,1,Outdated,0,No,Medium
Yes,7,2,Updated,0,No,Low
Yes,11,3,Outdated,0,No,Medium
Yes,9,3,Updated,1,No,Medium
No,3,1,Updated,1,No,Low
No,8,2,Outdated,0,No,Medium
Yes,5,0,Updated,0,No,Low
Yes,8,2,Outdated,0,No,High
No,5,1,Updated,0,No,Low
Yes,7,4,Outdated,1,Yes,High
No,0,2,Updated,0,Yes,Low
Yes,5,1,Updated,0,No,Low
Yes,6,2,Outdated,0,No,Medium
Yes,27,9,Outdated,1,Yes,Critical
Yes,4,4,Outdated,0,No,Medium
Yes,3,1,Outdated,0,No,Low
